xhdo
1914.4
1929.3
1914.5
1856.9
1858.4
1955.6
1728
1904.4
1814.3
1928.2
1892.8
1895.6
1824.2
1867.4
1782.5
1740.8
1880.1
1817.8
1723.8
1966
1871.9
1738.8
1943.9
1909.2
1697.5
1919.3
1892.6
1930.6
2044
2015.6
1761.6
1845.5
1810.1
1756.3
1906.3
2003.9
1747.4
1829.9
1949.2
1908.5
1938.5
1774.6
1905.7
1894.5
1843.5
1802.8
1918.5
1702.7
1832.4
1717.2
1874.5
1826.2
1933.2
1847
1849.4
1754.7
1877.2
1730
1786.1
1974.7
1952.7
1745
1800.8
1740.8
2070.4
2013.8
1772
1808.2
2004
1943.9
1905
1955.1
2105.7
1950
1917.6
1843.1
1979.9
1855
1898.6
2196.3
1701.7
1845
1829.2
1972.4
2109.4
1790.9
1884.4
1821.6
1819.3
1989.9
1841.4
1776.7
1765.9
1782.3
1997.4
1766.5
1810.8
1838
1863.4
1851.9
1781.1
1763.7
2053.3
1839.3
1777.8
2005.7
1920.7
1829.7
1720.2
1951.1
1884.9
2094.7
1654.7
2003.2
1764.1
1676.5
1618.1
1942.8
1693.3
1811.3
1847
1801.6
1758.1
1577.5
1728.4
1630.4
1712.9
2056.9
1703.8
1806.9
1772.7
1818.2
1937.5
1929.6
2026.5
1748
1964.5
1824.2
1771.4
1648
1774.1
1858.7
1957.5
2104.5
1553
2078.5
2231.8
1966.4
1843.5
1765.8
2176.7
1778.6
1759.6
2076.7
1967.6
1715.4
1829.7
1717.4
1772.2
1607.4
1857
2023.4
1862.8
2087.8
1984.7
1930.7
1996.6
1971.1
1984.5
1781
1659.6
1730.1
1851.7
1673.7
1851.1
1792.1
1656.5
1843.6
1965.7
1902.2
1639.6
1719.9
1954
1694
1826.7
1824.9
2038.5
2009.3
1740.5
1950.2
2010
2274.1
1565.8
2050.6
1867.9
1935
2039.3
1508.4
1902
2052.8
1990.6
1933.2
1899.5
1648.2
2087.2
1963.3
1645.1
1951
1923
1716.1
1908.1
2060.4
1956.7
2030.6
1615.1
1846
1720.8
1908.9
1830.2
1906.7
1785.8
1970.5
2070.6
1464
1351.5
1612.7
1621
1603.2
1631.3
1667.4
1629.8
1659.1
1651.7
1607.6
1638.5
1610.4
1648.7
1623.9
1652.1
1657.1
1634.6
1658.9
1669.2
1648.4
1655.9
1638.3
1655
1650.9
1652.1
1656
1673.4
1668.7
1677.1
1657.9
1672.2
1672.9
1661.6
1665
1656
1659.8
1678.6
1633
1671.1
1654.1
1674.9
1686.6
1664.8
1664
1664.6
1663.3
1646.7
1646.6
